Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	88.75	86	W	80.876	1
Lieutenant	71.43	86	W	80.876	1
Captain	71.67	82	W	79.432	1
Captain	82.38	71	W	73.732	1
Captain	69.58	77	W	73.6	1
Captain	80.83	82	W	79.676	1
Captain	69.58	75	W	73.332	1
Captain	70.95	86	W	78.4	1
Captain	69.17	74	W	72.732	1
Captain	80.42	68	W	72.2	1
Captain	82.38	67	W	70.732	1
Lieutenant	71.43	70	W	70.732	1
Captain	88.57	74	W	76.02	1
Captain	69.17	72	W	69.132	1
Captain	69.58	70	W	67.332	1
Captain	82.38	72	W	75.968	1
Captain	68.33	70	W	67.332	1
Captain	66.25	71	W	67.232	1
Captain	68.57	74	W	71.828	1
Captain	71.67	62	W	65.168	1
Captain	55.0	74	W	65.168	1
Captain	70.95	72	W	70.38	1
Captain	57.14	71	W	62.896	0
Captain	70.83	62	W	62.896	0
Captain	66.25	66	W	61.068	0
Captain	66.25	66	W	61.068	0
Captain	56.67	71	W	61.068	0
Captain	68.33	76	W	71.268	0
Captain	55.83	71	W	60.1	0
Captain	52.38	82	B	68.2	0
Captain	70.0	65	W	65.856	0
Captain	54.76	66	W	60.0	0
Captain	66.67	65	H	62.428	0
Captain	48.57	67	W	57.7	0
Captain	67.62	65	W	62.428	0
Captain	63.75	59	W	59.456	0
Captain	70.48	58	B	60.648	0
Captain	50.42	67	H	57.344	0
Captain	52.38	57	W	54.132	0
Captain	60.0	61	W	57.268	0
Captain	54.76	58	B	57.168	0
Lieutenant	88.75	86	W	80.876	1
Lieutenant	80.42	82	W	79.432	1
Lieutenant	70.0	86	W	79.432	1
Lieutenant	80.42	77	W	76.4	1
Lieutenant	71.43	82	W	76.4	1
Lieutenant	68.33	86	W	75.068	1
Lieutenant	71.67	77	W	74.952	1
Lieutenant	68.33	82	W	74.952	1
Lieutenant	59.05	86	W	74.952	1
Lieutenant	61.25	86	W	73.732	1
Lieutenant	62.38	77	W	72.732	1
Lieutenant	68.33	74	W	72.2	1
Lieutenant	56.67	82	W	70.732	1
Lieutenant	71.43	76	W	79.432	1
Lieutenant	60.83	86	W	78.124	1
Lieutenant	80.42	73	W	76.02	1
Lieutenant	69.17	72	W	69.192	1
Lieutenant	59.05	75	W	69.132	1
Lieutenant	80.42	65	W	67.332	1
Lieutenant	65.83	82	W	74.332	1
Lieutenant	70.83	67	W	67.152	1
Lieutenant	70.83	74	W	72.732	1
Lieutenant	61.25	71	W	67.152	1
Lieutenant	88.75	66	W	72.232	1
Lieutenant	66.67	68	W	65.8	1
Lieutenant	68.33	68	W	65.8	1
Lieutenant	59.05	82	W	73.732	1
Lieutenant	70.83	72	W	72.268	1
Lieutenant	60.48	70	W	65.168	1
Lieutenant	56.25	73	W	65.168	1
Lieutenant	58.57	82	W	72.2	1
Lieutenant	70.0	65	W	63.268	1
Lieutenant	68.33	66	W	63.268	1
Lieutenant	66.67	67	W	63.268	1
Lieutenant	60.48	70	W	62.896	0
Lieutenant	79.17	68	W	70.3	0
Lieutenant	68.33	65	W	61.068	0
Lieutenant	56.67	71	W	61.068	0
Lieutenant	51.25	74	W	60.9	0
Lieutenant	68.57	72	H	68.2	0
Lieutenant	51.25	73	W	60.828	0
Lieutenant	70.83	70	W	68.2	0
Lieutenant	60.48	67	W	60.1	0
Lieutenant	71.43	59	W	60.032	0
Lieutenant	60.48	73	W	66.3	0
Lieutenant	54.76	70	W	60.0	0
Lieutenant	66.25	70	W	66.3	0
Lieutenant	51.25	71	W	60.0	0
Lieutenant	64.58	70	W	65.0	0
Lieutenant	69.17	67	W	65.856	0
Lieutenant	56.25	71	W	63.268	0
Lieutenant	66.67	57	W	57.7	0
Lieutenant	55.24	71	W	62.768	0
Lieutenant	55.0	65	W	57.7	0
Lieutenant	56.67	69	B	63.668	0
Lieutenant	56.25	69	B	62.896	0
Lieutenant	48.33	73	W	60.8	0
Lieutenant	55.83	67	W	60.7	0
Captain	55.0	69	W	62.1	0
Lieutenant	48.57	71	B	62.1	0
Lieutenant	48.57	66	W	57.344	0
Lieutenant	57.14	59	W	57.344	0
Lieutenant	54.58	68	W	59.3	0
Lieutenant	60.83	66	W	60.7	0
Lieutenant	55.83	57	W	55.8	0
Lieutenant	51.25	62	W	55.8	0
Lieutenant	44.58	65	W	55.8	0
Lieutenant	52.08	66	H	57.268	0
Lieutenant	44.58	65	W	54.432	0
Lieutenant	55.83	66	W	59.3	0
Lieutenant	52.38	57	W	54.432	0
Lieutenant	58.75	64	W	59.132	0
Lieutenant	44.58	62	H	54.732	0
Lieutenant	51.25	65	B	57.168	0
Lieutenant	54.76	57	W	54.132	0
Lieutenant	52.38	58	W	54.732	0
Lieutenant	44.58	56	W	54.132	0
