Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	88.75	87	W	82.5	1
Captain	73.33	87	W	82.5	1
Captain	73.75	83	W	80.876	1
Captain	84.29	72	W	75.068	1
Captain	70.83	79	W	75.068	1
Captain	80.0	82	W	79.676	1
Captain	70.83	76	W	74.6	1
Captain	70.83	86	H	78.4	1
Captain	70.48	75	W	74.6	1
Captain	80.83	69	W	73.6	1
Captain	84.29	68	W	71.828	1
Captain	73.33	71	W	71.828	1
Captain	87.5	74	W	76.02	1
Captain	70.48	73	W	70.068	1
Captain	70.83	71	W	69.22	1
Captain	82.38	71	W	75.868	1
Captain	69.58	71	W	69.132	1
Captain	67.14	72	W	69.1	1
Captain	68.57	74	B	71.828	1
Captain	73.75	62	W	67.232	1
Captain	55.24	75	W	67.232	1
Captain	70.95	71	B	70.38	1
Captain	58.33	72	W	65.5	0
Captain	71.67	62	W	65.5	0
Lieutenant	67.62	67	W	63.268	0
Captain	67.62	67	W	63.268	0
Captain	57.14	72	W	62.896	0
Captain	66.67	76	H	70.732	0
Captain	56.25	72	W	60.828	0
Captain	52.38	81	W	68.068	0
Captain	69.58	65	H	65.856	0
Captain	55.0	67	W	60.4	0
Captain	64.58	65	W	62.428	0
Captain	48.57	68	W	58.192	0
Captain	67.62	62	W	62.1	0
Captain	62.38	60	W	59.456	0
Captain	70.48	57	B	60.1	0
Captain	48.57	67	W	57.344	0
Captain	52.92	57	W	54.432	0
Captain	60.0	60	B	57.168	0
Captain	54.76	57	B	56.632	0
Lieutenant	88.75	87	W	82.5	1
Lieutenant	80.83	83	W	81.028	1
Lieutenant	70.83	87	W	81.028	1
Lieutenant	80.83	79	W	76.916	1
Lieutenant	73.33	83	W	76.9	1
Lieutenant	69.58	87	W	75.968	1
Lieutenant	73.75	79	W	75.968	1
Lieutenant	69.58	83	W	75.968	1
Lieutenant	60.48	87	W	75.968	1
Lieutenant	63.33	87	W	75.132	1
Lieutenant	63.33	79	W	74.6	1
Lieutenant	69.58	75	W	73.6	1
Lieutenant	57.14	83	W	71.932	1
Lieutenant	72.5	76	W	78.4	1
Lieutenant	60.83	86	W	78.1	1
Lieutenant	80.42	73	W	76.02	1
Lieutenant	70.48	73	W	70.068	1
Lieutenant	60.0	76	W	70.068	1
Lieutenant	80.83	65	W	69.192	1
Lieutenant	65.83	81	B	74.332	1
Lieutenant	71.67	68	W	69.1	1
Lieutenant	70.83	74	W	72.732	1
Lieutenant	62.5	72	W	69.1	1
Lieutenant	89.52	65	W	72.232	1
Lieutenant	68.33	69	W	67.856	1
Lieutenant	69.58	69	W	67.856	1
Lieutenant	58.33	82	W	72.732	1
Lieutenant	70.48	72	W	72.2	1
Lieutenant	61.25	71	W	67.152	1
Lieutenant	56.67	74	W	67.152	1
Lieutenant	57.5	82	W	71.828	1
Lieutenant	70.83	65	W	65.856	1
Lieutenant	69.58	67	W	65.8	1
Lieutenant	68.33	68	W	65.8	1
Lieutenant	60.83	71	W	65.168	0
Lieutenant	78.33	68	H	69.952	0
Lieutenant	69.58	65	W	62.868	0
Lieutenant	57.14	72	W	62.868	0
Lieutenant	51.25	75	W	62.768	0
Lieutenant	67.62	72	H	68.2	0
Lieutenant	51.25	74	W	62.768	0
Lieutenant	70.83	69	B	68.068	0
Lieutenant	60.83	68	W	60.828	0
Lieutenant	72.5	59	W	60.8	0
Lieutenant	59.05	73	W	66.3	0
Lieutenant	54.76	71	W	60.7	0
Lieutenant	66.25	69	W	65.856	0
Lieutenant	51.25	72	W	60.648	0
Lieutenant	62.5	70	H	65.0	0
Lieutenant	69.17	66	B	65.8	0
Lieutenant	55.0	71	H	63.268	0
Lieutenant	68.33	57	W	59.3	0
Lieutenant	54.58	71	W	62.768	0
Lieutenant	55.24	65	W	59.132	0
Lieutenant	56.67	68	W	63.268	0
Lieutenant	56.25	68	W	62.868	0
Lieutenant	46.25	73	W	60.8	0
Lieutenant	54.76	67	W	60.7	0
Lieutenant	55.0	68	W	61.068	0
Lieutenant	49.58	70	B	60.9	0
Lieutenant	48.57	66	W	57.7	0
Lieutenant	57.5	59	W	57.7	0
Lieutenant	52.92	68	W	59.3	0
Lieutenant	60.83	65	B	60.4	0
Lieutenant	56.25	57	W	56.5	0
Lieutenant	51.25	62	W	56.5	0
Lieutenant	44.58	65	W	56.5	0
Lieutenant	50.42	66	H	57.268	0
Lieutenant	44.58	65	W	54.732	0
Lieutenant	55.83	65	B	58.192	0
Lieutenant	52.92	57	W	54.732	0
Lieutenant	58.75	61	B	57.968	0
Lieutenant	44.17	62	H	54.732	0
Lieutenant	51.67	62	W	57.132	0
Lieutenant	53.75	57	W	54.132	0
Lieutenant	52.38	57	B	54.432	0
Lieutenant	45.42	55	B	51.304	0
