Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	89.52	91	W	85.6	1
Captain	77.5	91	W	84.4	1
Captain	79.05	86	W	84.1	1
Lieutenant	87.5	74	W	76.9	1
Captain	73.33	82	W	76.9	1
Captain	78.33	82	H	79.676	1
Captain	73.33	80	W	76.448	1
Captain	70.48	84	H	78.4	1
Captain	71.67	79	W	76.1	1
Captain	82.38	71	W	75.968	1
Captain	87.5	68	W	75.068	1
Captain	77.5	73	W	74.952	1
Captain	80.42	74	H	76.02	1
Captain	71.67	75	W	72.268	1
Captain	73.75	73	W	71.828	1
Captain	82.38	71	B	75.132	1
Captain	70.95	73	W	71.2	1
Captain	68.57	74	W	70.868	1
Captain	68.57	74	B	71.828	1
Captain	79.05	64	W	69.952	1
Captain	56.25	79	W	69.828	1
Captain	70.95	71	B	70.38	1
Captain	60.0	74	W	68.5	0
Captain	76.19	64	W	68.2	0
Captain	70.0	67	W	67.332	0
Captain	70.0	67	W	67.332	0
Captain	58.57	74	W	67.332	0
Captain	62.5	75	W	69.952	0
Captain	56.67	74	W	65.5	0
Captain	52.38	79	W	67.332	0
Captain	68.33	65	H	65.856	0
Captain	55.0	67	W	61.068	0
Captain	60.83	65	W	62.428	0
Captain	48.57	68	W	60.1	0
Captain	67.62	59	B	60.8	0
Captain	58.75	60	H	59.456	0
Captain	70.48	55	B	59.456	0
Captain	45.42	67	H	57.344	0
Captain	53.75	58	W	55.8	0
Captain	60.0	56	B	56.5	0
Captain	54.76	53	B	54.732	0
Lieutenant	88.75	89	W	85.152	1
Lieutenant	84.29	86	W	84.2	1
Lieutenant	73.75	89	W	84.1	1
Lieutenant	84.29	82	W	81.028	1
Lieutenant	77.5	86	W	81.028	1
Lieutenant	71.43	89	W	78.4	1
Lieutenant	78.57	82	W	78.4	1
Lieutenant	70.95	86	W	78.4	1
Lieutenant	62.38	91	W	78.124	1
Lieutenant	66.25	89	W	76.916	1
Lieutenant	67.14	83	W	76.448	1
Lieutenant	71.43	79	W	76.02	1
Lieutenant	58.33	86	W	75.132	1
Lieutenant	74.17	76	B	76.916	1
Lieutenant	61.25	86	B	76.448	1
Lieutenant	80.42	73	B	75.968	1
Lieutenant	72.5	75	W	72.268	1
Lieutenant	62.38	81	W	72.232	1
Lieutenant	84.29	66	W	71.352	1
Lieutenant	65.83	81	B	74.332	1
Lieutenant	74.17	69	W	70.868	1
Lieutenant	70.83	74	B	72.732	1
Lieutenant	64.58	74	W	70.7	1
Lieutenant	89.52	61	W	72.232	1
Lieutenant	70.83	71	W	70.38	1
Lieutenant	70.95	70	W	70.3	1
Lieutenant	56.67	82	H	71.932	1
Lieutenant	69.58	72	W	71.352	1
Lieutenant	63.33	73	W	69.372	1
Lieutenant	57.5	76	W	69.372	1
Lieutenant	55.0	82	H	71.2	1
Lieutenant	73.75	66	W	69.192	1
Lieutenant	71.43	67	W	69.132	1
Lieutenant	70.48	68	W	69.1	1
Lieutenant	63.33	72	W	68.068	0
Lieutenant	73.33	68	H	69.372	0
Lieutenant	71.43	66	W	67.068	0
Lieutenant	58.33	74	W	67.068	0
Lieutenant	51.25	77	W	66.3	0
Lieutenant	64.58	72	H	68.2	0
Lieutenant	51.67	76	W	65.856	0
Lieutenant	70.83	67	B	67.856	0
Lieutenant	63.33	68	W	65.0	0
Lieutenant	76.67	59	W	63.668	0
Lieutenant	57.5	73	H	66.3	0
Lieutenant	55.0	72	W	62.868	0
Lieutenant	66.25	67	B	65.8	0
Lieutenant	50.42	74	W	62.768	0
Lieutenant	59.05	70	H	65.0	0
Lieutenant	69.17	62	B	65.168	0
Lieutenant	53.75	71	W	63.268	0
Lieutenant	70.48	57	W	60.828	0
Lieutenant	52.38	71	W	62.768	0
Lieutenant	55.83	66	W	60.7	0
Lieutenant	56.67	66	W	62.428	0
Lieutenant	56.25	66	W	62.1	0
Lieutenant	44.17	73	H	60.8	0
Lieutenant	52.92	67	H	60.7	0
Lieutenant	55.0	66	B	60.7	0
Lieutenant	50.42	68	B	60.7	0
Lieutenant	49.58	67	W	59.3	0
Lieutenant	58.75	60	W	59.132	0
Lieutenant	50.42	68	W	59.3	0
Lieutenant	60.83	60	B	60.0	0
Lieutenant	57.14	58	W	57.344	0
Lieutenant	51.25	62	W	57.268	0
Lieutenant	44.58	66	W	57.168	0
Lieutenant	46.25	66	H	57.268	0
Lieutenant	45.42	65	W	56.632	0
Lieutenant	55.83	60	B	57.344	0
Lieutenant	53.81	58	W	56.324	0
Lieutenant	58.75	58	B	57.168	0
Lieutenant	42.5	64	H	54.732	0
Lieutenant	51.67	59	B	55.8	0
Lieutenant	51.25	58	H	54.132	0
Lieutenant	52.92	53	B	51.304	0
Lieutenant	45.42	50	B	50.568	0
