Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	88.75	89	W	84.1	1
Captain	73.75	89	W	82.732	1
Captain	74.17	84	W	81.028	1
Captain	85.0	73	W	75.868	1
Captain	70.95	80	W	75.868	1
Captain	79.17	82	H	79.676	1
Captain	70.95	77	W	75.132	1
Captain	70.83	86	H	78.4	1
Captain	70.83	76	W	75.068	1
Captain	80.83	70	W	74.332	1
Captain	85.0	68	W	72.232	1
Captain	73.75	72	W	72.232	1
Captain	85.0	74	W	76.02	1
Captain	70.83	74	W	70.7	1
Captain	71.43	72	W	69.952	1
Captain	82.38	71	W	75.868	1
Captain	70.0	72	W	69.632	1
Captain	67.62	73	W	69.372	1
Captain	68.57	74	B	71.828	1
Captain	74.17	62	W	68.068	1
Captain	55.83	76	W	68.068	1
Captain	70.95	71	B	70.38	1
Captain	58.57	73	W	66.3	0
Captain	73.33	62	W	65.856	0
Captain	68.33	67	W	65.168	0
Captain	68.33	67	W	65.168	0
Captain	57.5	73	W	65.0	0
Captain	65.83	76	H	70.7	0
Captain	56.25	73	W	62.1	0
Captain	52.38	80	W	67.856	0
Captain	69.17	65	W	65.856	0
Captain	55.0	67	W	60.648	0
Captain	63.75	65	W	62.428	0
Captain	48.57	68	W	59.3	0
Captain	67.62	61	B	61.068	0
Captain	61.25	60	W	59.456	0
Captain	70.48	57	B	60.032	0
Captain	48.33	67	H	57.344	0
Captain	52.92	57	W	54.732	0
Captain	60.0	59	W	57.132	0
Captain	54.76	56	W	56.5	0
Lieutenant	88.75	87	W	82.732	1
Lieutenant	82.38	84	W	81.932	1
Lieutenant	71.43	87	W	81.932	1
Lieutenant	82.38	80	W	78.124	1
Lieutenant	73.75	84	W	78.1	1
Lieutenant	70.0	87	W	76.4	1
Lieutenant	74.17	80	W	76.4	1
Lieutenant	70.0	84	W	76.4	1
Lieutenant	60.83	89	W	76.1	1
Lieutenant	63.75	87	W	75.868	1
Lieutenant	64.58	80	W	75.132	1
Lieutenant	70.0	76	W	74.6	1
Lieutenant	57.5	84	W	72.268	1
Lieutenant	73.33	76	B	78.124	1
Lieutenant	60.83	86	W	76.916	1
Lieutenant	80.42	73	B	76.02	1
Lieutenant	70.83	74	W	70.7	1
Lieutenant	60.48	77	W	70.6	1
Lieutenant	82.38	65	W	69.828	1
Lieutenant	65.83	81	W	74.332	1
Lieutenant	72.5	68	W	69.372	1
Lieutenant	70.83	74	W	72.732	1
Lieutenant	63.33	73	W	69.22	1
Lieutenant	89.52	64	B	72.232	1
Lieutenant	69.17	70	W	69.1	1
Lieutenant	70.0	69	W	68.5	1
Lieutenant	57.92	82	H	72.268	1
Lieutenant	70.0	72	H	71.932	1
Lieutenant	62.38	72	W	67.856	1
Lieutenant	56.67	74	W	67.856	1
Lieutenant	56.67	82	W	71.352	1
Lieutenant	71.43	65	W	67.152	1
Lieutenant	70.0	67	W	67.068	1
Lieutenant	68.57	68	W	67.068	1
Lieutenant	61.25	71	W	65.856	0
Lieutenant	76.67	68	W	69.828	0
Lieutenant	70.0	65	W	63.668	0
Lieutenant	57.5	73	W	63.668	0
Lieutenant	51.25	75	W	63.268	0
Lieutenant	67.14	72	H	68.2	0
Lieutenant	51.25	74	W	62.896	0
Lieutenant	70.83	69	B	68.068	0
Lieutenant	61.25	68	W	61.068	0
Lieutenant	73.75	59	W	61.068	0
Lieutenant	58.75	73	W	66.3	0
Lieutenant	54.76	71	W	60.828	0
Lieutenant	66.25	69	B	65.856	0
Lieutenant	51.25	73	W	60.8	0
Lieutenant	62.38	70	H	65.0	0
Lieutenant	69.17	65	B	65.5	0
Lieutenant	54.76	71	H	63.268	0
Lieutenant	68.57	57	W	60.0	0
Lieutenant	53.81	71	H	62.768	0
Lieutenant	55.24	65	W	59.456	0
Lieutenant	56.67	68	W	62.896	0
Lieutenant	56.25	68	B	62.768	0
Lieutenant	45.83	73	H	60.8	0
Lieutenant	54.58	67	W	60.7	0
Lieutenant	55.0	68	B	60.9	0
Lieutenant	49.58	70	B	60.828	0
Lieutenant	48.57	66	W	57.968	0
Lieutenant	57.92	59	W	57.968	0
Lieutenant	52.38	68	H	59.3	0
Lieutenant	60.83	64	B	60.1	0
Lieutenant	56.67	57	W	56.632	0
Lieutenant	51.25	62	W	56.632	0
Lieutenant	44.58	65	W	56.632	0
Lieutenant	49.58	66	H	57.268	0
Lieutenant	44.58	65	W	55.8	0
Lieutenant	55.83	64	W	57.968	0
Lieutenant	53.75	57	W	54.732	0
Lieutenant	58.75	60	W	57.7	0
Lieutenant	42.86	62	W	54.732	0
Lieutenant	51.67	61	B	56.632	0
Lieutenant	52.92	57	W	54.132	0
Lieutenant	52.38	56	W	54.132	0
Lieutenant	45.42	55	W	51.304	0
