Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	89.52	89	W	84.4	1
Captain	76.67	89	W	84.2	1
Captain	78.33	84	W	82.732	1
Captain	87.5	74	W	76.448	1
Captain	72.5	81	W	76.4	1
Captain	78.57	82	H	79.676	1
Captain	72.5	79	W	76.1	1
Captain	70.48	84	H	78.4	1
Captain	71.43	77	W	75.968	1
Captain	82.38	70	W	75.724	1
Captain	85.0	68	W	74.332	1
Captain	76.67	72	W	73.732	1
Captain	80.83	74	W	76.02	1
Captain	71.43	75	W	71.828	1
Captain	72.5	72	W	70.868	1
Captain	82.38	71	B	75.132	1
Captain	70.83	72	W	70.7	1
Captain	68.33	74	W	70.6	1
Captain	68.57	74	B	71.828	1
Captain	78.33	64	W	69.372	1
Captain	55.83	77	W	69.22	1
Captain	70.95	71	B	70.38	1
Captain	59.05	73	W	67.856	0
Captain	73.81	64	W	67.856	0
Captain	69.58	67	W	67.068	0
Captain	69.58	67	W	67.068	0
Captain	58.33	74	W	67.068	0
Captain	63.75	75	H	70.068	0
Captain	56.67	73	W	63.668	0
Captain	52.38	80	B	67.332	0
Captain	68.57	65	H	65.856	0
Captain	55.0	67	W	60.9	0
Captain	61.25	65	W	62.428	0
Captain	48.57	68	W	60.032	0
Captain	67.62	60	B	60.828	0
Captain	59.05	60	H	59.456	0
Captain	70.48	55	B	60.0	0
Captain	45.83	67	H	57.344	0
Captain	53.75	58	W	54.732	0
Captain	60.0	57	B	56.632	0
Captain	54.76	55	W	55.8	0
Lieutenant	88.75	89	W	84.4	1
Lieutenant	84.29	84	W	84.1	1
Lieutenant	73.33	89	W	82.732	1
Lieutenant	82.38	81	W	79.676	1
Lieutenant	76.67	84	W	79.676	1
Lieutenant	70.95	89	W	78.1	1
Lieutenant	77.5	81	W	76.916	1
Lieutenant	70.83	86	W	76.916	1
Lieutenant	61.25	89	W	76.916	1
Lieutenant	65.83	89	W	76.6	1
Lieutenant	66.67	82	W	76.02	1
Lieutenant	70.95	77	W	75.724	1
Lieutenant	57.92	86	W	74.6	1
Lieutenant	73.81	76	B	78.1	1
Lieutenant	61.25	86	B	76.6	1
Lieutenant	80.42	73	B	75.968	1
Lieutenant	71.67	75	W	71.932	1
Lieutenant	61.25	80	W	71.828	1
Lieutenant	84.29	66	W	70.732	1
Lieutenant	65.83	81	B	74.332	1
Lieutenant	73.81	69	W	70.38	1
Lieutenant	70.83	74	W	72.732	1
Lieutenant	63.75	74	W	70.3	1
Lieutenant	89.52	62	B	72.232	1
Lieutenant	70.0	70	W	69.828	1
Lieutenant	70.83	70	W	69.828	1
Lieutenant	57.14	82	H	72.2	1
Lieutenant	70.0	72	W	71.828	1
Lieutenant	62.5	72	W	69.132	1
Lieutenant	57.5	76	W	69.132	1
Lieutenant	55.83	82	W	71.268	1
Lieutenant	73.33	66	W	68.5	1
Lieutenant	70.95	67	W	68.2	1
Lieutenant	70.0	68	W	68.068	1
Lieutenant	62.5	72	W	67.332	0
Lieutenant	73.81	68	H	69.632	0
Lieutenant	70.95	66	W	65.856	0
Lieutenant	57.92	74	W	65.856	0
Lieutenant	51.25	77	W	65.8	0
Lieutenant	65.83	72	H	68.2	0
Lieutenant	51.67	76	W	65.5	0
Lieutenant	70.83	67	B	67.856	0
Lieutenant	62.5	68	W	63.268	0
Lieutenant	76.19	59	W	62.868	0
Lieutenant	57.92	73	W	66.3	0
Lieutenant	55.0	72	W	62.428	0
Lieutenant	66.25	67	W	65.8	0
Lieutenant	50.42	73	W	62.1	0
Lieutenant	60.0	70	W	65.0	0
Lieutenant	69.17	64	W	65.168	0
Lieutenant	53.81	71	H	63.268	0
Lieutenant	70.0	57	W	60.7	0
Lieutenant	52.92	71	H	62.768	0
Lieutenant	55.83	66	W	60.4	0
Lieutenant	56.67	66	B	62.768	0
Lieutenant	56.25	66	W	62.428	0
Lieutenant	44.58	73	H	60.8	0
Lieutenant	53.75	67	H	60.7	0
Lieutenant	55.0	66	B	60.8	0
Lieutenant	50.42	68	B	60.8	0
Lieutenant	49.58	67	W	59.132	0
Lieutenant	58.57	60	W	58.192	0
Lieutenant	51.25	68	W	59.3	0
Lieutenant	60.83	61	B	60.032	0
Lieutenant	57.14	58	W	57.268	0
Lieutenant	51.25	62	W	57.168	0
Lieutenant	44.58	66	W	57.132	0
Lieutenant	48.33	66	H	57.268	0
Lieutenant	45.42	65	W	56.5	0
Lieutenant	55.83	61	W	57.432	0
Lieutenant	53.75	58	W	56.324	0
Captain	58.75	59	B	57.268	0
Lieutenant	42.86	64	W	54.732	0
Lieutenant	51.67	60	W	56.324	0
Lieutenant	51.67	58	H	54.132	0
Lieutenant	52.92	55	B	54.132	0
Lieutenant	45.42	50	W	50.568	0
