Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	89.52	95	W	90.1	1
Captain	79.05	95	W	87.2	1
Captain	80.42	87	W	84.4	1
Captain	87.62	75	W	79.432	1
Captain	74.17	83	W	79.432	1
Captain	76.67	82	H	79.676	1
Captain	74.17	81	W	78.124	1
Captain	70.0	84	H	78.4	1
Captain	73.75	80	W	76.916	1
Captain	84.29	72	W	76.6	1
Lieutenant	87.62	69	W	76.02	1
Captain	79.05	74	W	75.968	1
Captain	79.17	74	H	76.02	1
Captain	73.75	76	W	74.952	1
Captain	76.19	74	W	73.732	1
Captain	82.38	70	B	75.068	1
Captain	72.5	74	W	72.268	1
Captain	69.58	75	W	72.232	1
Captain	68.57	74	B	71.828	1
Captain	80.42	64	W	70.868	1
Captain	56.67	80	W	70.732	1
Captain	70.95	70	B	70.38	1
Captain	61.25	75	W	69.372	0
Captain	78.33	64	W	69.22	0
Captain	70.95	68	W	69.132	0
Captain	70.95	68	W	69.132	0
Captain	58.75	75	W	69.1	0
Captain	60.83	75	H	69.372	0
Captain	57.14	75	W	67.152	0
Captain	52.38	77	B	67.232	0
Captain	67.62	65	H	65.856	0
Captain	55.24	68	W	62.768	0
Captain	59.05	65	H	62.428	0
Captain	48.57	69	W	60.7	0
Captain	67.62	57	B	60.7	0
Captain	57.92	61	H	59.456	0
Captain	70.48	53	B	59.132	0
Captain	44.17	67	H	57.344	0
Captain	53.81	58	W	56.324	0
Captain	60.0	55	B	56.324	0
Captain	54.76	50	B	54.132	0
Lieutenant	88.75	91	W	89.0	1
Lieutenant	85.0	87	W	85.6	1
Lieutenant	76.19	91	W	85.152	1
Lieutenant	85.0	83	W	84.1	1
Lieutenant	79.05	87	W	82.732	1
Lieutenant	73.33	91	W	81.932	1
Lieutenant	80.0	83	W	81.932	1
Lieutenant	72.5	87	W	81.932	1
Lieutenant	63.33	95	W	81.028	1
Lieutenant	67.62	91	W	79.676	1
Lieutenant	68.57	84	W	78.124	1
Lieutenant	73.33	80	W	76.9	1
Lieutenant	58.57	87	W	76.4	1
Lieutenant	76.67	76	B	76.9	1
Lieutenant	61.25	86	W	76.4	1
Lieutenant	80.42	73	B	75.968	1
Lieutenant	73.81	76	W	74.952	1
Lieutenant	62.5	82	W	74.6	1
Lieutenant	85.0	66	W	73.332	1
Lieutenant	65.83	80	B	74.332	1
Lieutenant	77.5	70	W	72.232	1
Lieutenant	70.83	74	B	72.732	1
Lieutenant	66.25	75	W	71.932	1
Lieutenant	92.08	60	B	72.232	1
Lieutenant	71.67	72	W	71.352	1
Lieutenant	72.5	71	W	71.268	1
Lieutenant	55.24	82	H	71.268	1
Lieutenant	69.17	72	H	71.2	1
Lieutenant	64.58	74	W	70.38	1
Lieutenant	57.92	77	W	70.38	1
Lieutenant	53.81	82	H	70.732	1
Lieutenant	76.19	66	W	70.068	1
Lieutenant	73.33	68	W	69.828	1
Lieutenant	71.43	69	W	69.632	1
Lieutenant	63.75	73	W	69.192	0
Lieutenant	71.43	68	H	69.192	0
Lieutenant	73.33	66	W	68.068	0
Lieutenant	58.57	75	W	68.068	0
Lieutenant	51.25	79	W	67.856	0
Lieutenant	63.33	72	H	68.2	0
Lieutenant	51.67	77	W	67.332	0
Lieutenant	70.83	66	B	67.332	0
Lieutenant	63.75	69	W	66.3	0
Lieutenant	78.57	59	W	65.856	0
Lieutenant	56.67	73	H	66.3	0
Lieutenant	55.0	73	W	65.168	0
Lieutenant	66.25	66	B	65.5	0
Lieutenant	50.42	75	W	63.668	0
Lieutenant	58.33	70	H	65.0	0
Lieutenant	69.17	61	B	65.0	0
Lieutenant	52.08	71	W	63.268	0
Lieutenant	71.43	57	W	62.428	0
Lieutenant	51.25	71	H	62.768	0
Lieutenant	56.25	66	W	60.9	0
Lieutenant	56.67	65	B	62.1	0
Lieutenant	56.25	65	B	61.068	0
Lieutenant	42.86	73	H	60.8	0
Lieutenant	51.67	67	H	60.7	0
Lieutenant	55.0	65	W	60.648	0
Lieutenant	51.25	67	B	60.4	0
Lieutenant	49.58	67	W	60.0	0
Lieutenant	59.05	60	W	59.456	0
Lieutenant	48.33	68	W	59.3	0
Lieutenant	60.83	59	B	59.3	0
Lieutenant	57.5	58	W	57.7	0
Lieutenant	51.25	62	W	57.432	0
Lieutenant	44.58	66	W	57.344	0
Lieutenant	44.58	66	H	57.268	0
Lieutenant	45.42	65	W	57.132	0
Lieutenant	55.83	59	B	57.168	0
Lieutenant	54.58	58	W	56.5	0
Lieutenant	58.75	56	B	56.632	0
Lieutenant	40.83	64	H	54.732	0
Lieutenant	52.08	57	B	54.732	0
Lieutenant	48.57	58	H	54.132	0
Lieutenant	52.92	50	B	50.568	0
Lieutenant	45.83	49	B	45.932	0
