Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	88.75	87	W	81.932	1
Captain	71.67	87	W	81.028	1
Captain	73.33	83	W	79.676	1
Captain	84.29	72	W	74.6	1
Captain	70.48	77	W	74.6	1
Captain	80.42	82	H	79.676	1
Captain	70.48	75	W	73.732	1
Captain	70.83	86	W	78.4	1
Captain	69.58	74	W	73.6	1
Captain	80.83	69	W	72.732	1
Captain	84.29	67	W	71.268	1
Captain	71.67	71	W	71.2	1
Captain	87.62	74	W	76.02	1
Captain	69.58	73	W	69.632	1
Captain	70.48	71	W	68.5	1
Captain	82.38	72	W	75.968	1
Captain	68.57	71	W	68.2	1
Captain	66.67	72	W	68.068	1
Captain	68.57	74	W	71.828	1
Captain	73.33	62	W	66.3	1
Captain	55.24	74	W	65.856	1
Captain	70.95	72	W	70.38	1
Lieutenant	57.5	72	W	63.668	0
Captain	71.43	62	W	63.668	0
Captain	67.14	66	W	62.768	0
Captain	67.14	66	W	62.768	0
Captain	57.14	72	W	62.768	0
Lieutenant	67.14	76	H	71.2	0
Captain	56.25	72	W	60.7	0
Captain	52.38	81	W	68.068	0
Captain	70.0	65	H	65.856	0
Captain	54.76	66	W	60.032	0
Captain	66.25	65	W	62.428	0
Captain	48.57	67	W	57.968	0
Captain	67.62	64	W	62.1	0
Captain	63.33	59	W	59.456	0
Captain	70.48	58	B	60.4	0
Captain	49.58	67	W	57.344	0
Captain	52.92	57	W	54.432	0
Captain	60.0	60	W	57.268	0
Captain	54.76	58	W	57.132	0
Lieutenant	88.75	87	W	81.932	1
Lieutenant	80.83	83	W	80.876	1
Lieutenant	70.48	87	W	79.676	1
Lieutenant	80.83	77	W	76.6	1
Lieutenant	71.67	83	W	76.6	1
Lieutenant	69.17	87	W	75.724	1
Lieutenant	72.5	77	W	75.724	1
Lieutenant	68.57	83	W	75.724	1
Lieutenant	60.0	87	W	75.724	1
Lieutenant	62.38	87	W	74.6	1
Lieutenant	62.5	79	W	73.732	1
Lieutenant	69.17	74	W	72.732	1
Lieutenant	56.67	83	W	71.268	1
Lieutenant	71.67	76	W	79.432	1
Lieutenant	60.83	86	W	78.1	1
Lieutenant	80.42	73	W	76.02	1
Lieutenant	70.0	73	W	69.632	1
Lieutenant	60.0	76	W	69.632	1
Lieutenant	80.83	65	W	68.2	1
Lieutenant	65.83	82	B	74.332	1
Lieutenant	71.43	68	W	68.068	1
Lieutenant	70.83	74	B	72.732	1
Lieutenant	62.38	72	W	67.856	1
Lieutenant	88.75	66	W	72.232	1
Lieutenant	67.62	69	W	67.152	1
Lieutenant	68.57	69	W	67.152	1
Lieutenant	58.75	82	H	73.6	1
Lieutenant	70.48	72	W	72.232	1
Lieutenant	60.83	71	W	65.856	1
Lieutenant	56.25	73	W	65.856	1
Lieutenant	57.92	82	W	71.932	1
Lieutenant	70.48	65	W	65.168	1
Lieutenant	69.17	66	W	65.168	1
Lieutenant	67.62	67	W	65.0	1
Lieutenant	60.83	71	W	63.668	0
Lieutenant	79.05	68	W	70.068	0
Lieutenant	69.17	65	W	62.428	0
Lieutenant	56.67	72	W	62.428	0
Lieutenant	51.25	74	W	62.1	0
Lieutenant	68.33	72	H	68.2	0
Lieutenant	51.25	73	W	62.1	0
Lieutenant	70.83	70	B	68.068	0
Lieutenant	60.83	67	W	60.648	0
Lieutenant	71.67	59	W	60.648	0
Lieutenant	60.0	73	H	66.3	0
Lieutenant	54.76	71	W	60.1	0
Lieutenant	66.25	70	B	65.856	0
Lieutenant	51.25	72	W	60.1	0
Lieutenant	63.75	70	H	65.0	0
Lieutenant	69.17	67	W	65.8	0
Lieutenant	55.83	71	H	63.268	0
Lieutenant	67.62	57	W	58.192	0
Lieutenant	55.0	71	W	62.768	0
Lieutenant	55.24	65	W	58.192	0
Lieutenant	56.67	69	W	63.268	0
Lieutenant	56.25	69	W	62.896	0
Lieutenant	46.25	73	W	60.8	0
Lieutenant	55.24	67	H	60.7	0
Lieutenant	55.0	69	W	61.068	0
Lieutenant	49.58	71	W	61.068	0
Lieutenant	48.57	66	W	57.432	0
Lieutenant	57.5	59	W	57.432	0
Lieutenant	53.75	68	H	59.3	0
Lieutenant	60.83	65	W	60.648	0
Lieutenant	56.25	57	W	56.324	0
Lieutenant	51.25	62	W	56.324	0
Lieutenant	44.58	65	W	56.324	0
Lieutenant	51.67	66	W	57.268	0
Lieutenant	44.58	65	W	54.732	0
Lieutenant	55.83	65	W	59.132	0
Lieutenant	52.92	57	W	54.432	0
Lieutenant	58.75	62	B	58.192	0
Lieutenant	44.17	62	W	54.732	0
Lieutenant	51.25	64	B	57.132	0
Lieutenant	53.81	57	W	54.132	0
Captain	52.38	58	B	54.432	0
Captain	44.58	56	W	51.304	0
