Label,Rules,Quality,Score
0,IF Education==Masters AND Years==3-6 AND Race==B THEN Bonus=yes ,0.883116883117,0.2924000000000002
0,IF Education==Masters AND Years==3-6 AND Race==B THEN Bonus==yes,0.8831168831168831,0.2924000000000002
0,IF Education==Masters AND Race==B AND Years_noRace==>6 THEN Bonus==yes,0.8656716417910447,0.28900000000000015
0,IF Education==Masters AND Years==3-6 AND Race_noRace==W THEN Bonus==yes,0.8384279475982532,0.15600000000000014
0,IF Education==Masters AND Years_noRace==3-6 AND Race_noRace==W THEN Bonus==yes,0.8253012048192772,0.15260000000000007
0,IF Education==Masters AND Race==B AND Years_noRace==<3 THEN Bonus==yes,0.8227848101265823,0.28900000000000015
0,IF Education==Masters AND Years_noRace==<3 AND Race_noRace==W THEN Bonus==yes,0.8056338028169014,0.15260000000000007
0,IF Education==Masters AND Years_noRace==>6 AND Race_noRace==W THEN Bonus==yes,0.7931034482758621,0.15260000000000007
0,IF Education==Masters AND Race==B AND Years_noRace==3-6 THEN Bonus==yes,0.7790697674418605,0.28900000000000015
0,IF Education_noRace==Highschool AND Years_noRace==<3 AND Race_noRace==W THEN Bonus==yes,0.6070588235294118,0.0
0,IF Years==3-6 AND Education_noRace==Highschool AND Race_noRace==W THEN Bonus==yes,0.5849056603773585,0.0034000000000000696
0,IF Education_noRace==Masters AND Years_noRace==3-6 AND Race_noRace==W THEN Bonus==yes,0.5805626598465473,0.0
0,IF Years==3-6 AND Education_noRace==Bachelors AND Race_noRace==W THEN Bonus==yes,0.5714285714285714,0.0034000000000000696
0,IF Education_noRace==Highschool AND Years_noRace==>6 AND Race_noRace==W THEN Bonus==yes,0.5606796116504854,0.0
0,IF Education_noRace==Bachelors AND Years_noRace==3-6 AND Race_noRace==W THEN Bonus==yes,0.5574162679425837,0.0
0,IF Education_noRace==Masters AND Years_noRace==<3 AND Race_noRace==W THEN Bonus==yes,0.5572519083969466,0.0
0,IF Years==3-6 AND Education_noRace==Masters AND Race_noRace==W THEN Bonus==yes,0.5526315789473685,0.0034000000000000696
